0	1.51098	0.346641
0.0001	1.74644	0.34666
0.0002	1.96439	0.34668
0.0003	2.16271	0.3467
0.0004	2.33945	0.34672
0.0005	2.49291	0.346739
0.0006	2.62158	0.346759
0.0007	2.72423	0.346779
0.0008	2.79988	0.346799
0.0009	2.84781	0.346818
0.001	2.86757	0.346838
0.0011	2.859	0.346858
0.0012	2.82223	0.346878
0.0013	2.75764	0.346898
0.0014	2.6659	0.346917
0.0015	2.54796	0.346937
0.0016	2.40499	0.346957
0.0017	2.23845	0.346977
0.0018	2.05	0.346996
0.0019	1.84153	0.347016
0.002	1.61511	0.347036
0.0021	1.37301	0.347056
0.0022	1.11762	0.347075
0.0023	0.851487	0.347095
0.0024	0.577247	0.347115
0.0025	0.297615	0.347135
0.0026	0.015358	0.347154
0.0027	0.266736	0.347174
0.0028	0.545882	0.347194
0.0029	0.81933	0.347214
0.003	1.08438	0.347234
0.0031	1.33844	0.347253
0.0032	1.579	0.347273
0.0033	1.80371	0.347293
0.0034	2.01037	0.347313
0.0035	2.19695	0.347332
0.0036	2.36164	0.347352
0.0037	2.50283	0.347372
0.0038	2.61916	0.347392
0.0039	2.70951	0.347411
0.004	2.77301	0.347431
0.0041	2.80907	0.347451
0.0042	2.81736	0.347471
0.0043	2.79782	0.34749
0.0044	2.7507	0.34751
0.0045	2.67647	0.34753
0.0046	2.5759	0.34755
0.0047	2.45001	0.347569
0.0048	2.30007	0.347589
0.0049	2.1276	0.347609
0.005	1.93431	0.347629
0.0051	1.72214	0.347648
0.0052	1.49319	0.347668
0.0053	1.24976	0.347688
0.0054	0.99426	0.347708
0.0055	0.72922	0.347727
0.0056	0.457271	0.347747
0.0057	0.181104	0.347767
0.0058	0.0965502	0.347787
0.0059	0.372949	0.347806
0.006	0.645366	0.347826
0.0061	0.911116	0.347846
0.0062	1.16758	0.347866
0.0063	1.41225	0.347885
0.0064	1.6427	0.347905
0.0065	1.85669	0.347925
0.0066	2.05212	0.347945
0.0067	2.22708	0.347964
0.0068	2.37986	0.347984
0.0069	2.50898	0.348004
0.007	2.6132	0.348023
0.0071	2.6915	0.348043
0.0072	2.74315	0.348063
0.0073	2.76766	0.348083
0.0074	2.76482	0.348102
0.0075	2.73469	0.348122
0.0076	2.67759	0.348142
0.0077	2.59412	0.348162
0.0078	2.48513	0.348181
0.0079	2.35172	0.348201
0.008	2.19524	0.348221
0.0081	2.01725	0.348241
0.0082	1.81954	0.34826
0.0083	1.60407	0.34828
0.0084	1.37299	0.3483
0.0085	1.12861	0.34832
